Entity;Type;Criteria;Request;SmartSearch label EN;SmartSearch label FR
Account;predicate;gtCreationDate;Account.creationDate > '{creationDateParam.value}';which were created is greater than;qui ont été créés est plus grand que
Account;predicate;betweenCreationDate;Account.creationDate > '{firstCreationDateParam.value}' and Account.creationDate < '{secondCreationDateParam.value}';which were created;qui ont été créés
Account;predicate;ltPasswordLastSetDate;Account.passwordLastSetDate < '{passwordLastSetDateParam.value}';which password last set date was is less than;dont la dernière modification du mot de passe était est plus petit que
Account;predicate;gtPasswordLastSetDate;Account.passwordLastSetDate > '{passwordLastSetDateParam.value}';which password last set date was is greater than;dont la dernière modification du mot de passe était est plus grand que
Account;predicate;betweenPasswordLastSetDate;Account.passwordLastSetDate > '{firstPasswordLastSetDateParam.value}' and Account.passwordLastSetDate < '{secondPasswordLastSetDateParam.value}';which password last set date was;dont la dernière modification du mot de passe était
Account;predicate;ltExpireDate;Account.expireDate < '{expireDateParam.value}';which expire is less than;expirant est plus petit que
Account;predicate;gtExpireDate;Account.expireDate > '{expireDateParam.value}';which expire is greater than;expirant est plus grand que
Account;predicate;reconciliatedAccounts;Account/Reconciliation.identity.recordUid IS NOT NULL;reconciled with an identity;réconciliés
Account;predicate;notReconciliatedAccounts;Account/Reconciliation.recordUid IS NULL;orphan;orphelins
Account;predicate;leaverReconciliatedAccounts;((Account/Reconciliation.recordUid IS NOT NULL) and (Account/Reconciliation.identity.recordUid IS NULL)) and (Account/Reconciliation.noOwnerCode = 'leave');reconciled with an identity who has left the company ;réconciliés à une identité ayant quitté la société 
Account;predicate;serviceReconciliatedAccounts;((Account/Reconciliation.recordUid IS NOT NULL) and (Account/Reconciliation.identity.recordUid IS NULL)) and (Account/Reconciliation.noOwnerCode = 'service');technical ;techniques 
Account;predicate;manuallyReconciliatedAccounts;(Account/Reconciliation.recordUid IS NOT NULL) and (Account/Reconciliation.ruleName IS NULL);reconciled manually;réconciliés manuellement
Account;predicate;eqReconciliationReliability;(Account/Reconciliation.identity.recordUid IS NOT NULL) and (Account/Reconciliation.reliability = '{parseInt(ruleReliabilityParam.value,10)}');which reconciliation rule reliability is equal to;dont la fiabilité de la règle de réconciliation est égal à
Account;predicate;ltReconciliationReliability;(Account/Reconciliation.identity.recordUid IS NOT NULL) and (Account/Reconciliation.reliability < '{parseInt(ruleReliabilityParam.value,10)}');which reconciliation rule reliability is less than;dont la fiabilité de la règle de réconciliation est plus petit que
Account;predicate;gtReconciliationReliability;(Account/Reconciliation.identity.recordUid IS NOT NULL) and (Account/Reconciliation.reliability > '{parseInt(ruleReliabilityParam.value,10)}');which reconciliation rule reliability is greater than;dont la fiabilité de la règle de réconciliation est plus grand que
Account;predicate;noUsage;Account/Usage.recordUid IS NULL;not used;non utilisés effectivement
Account;predicate;hasUsages;Account/Usage.recordUid IS NOT NULL;used;utilisés
Account;predicate;usingCALicense;() and (Account.custom4 != 'Built-InAdmins')Account/Metadata.recordUid IS NOT NULL;using CyberArk license is in;utilisant une licence CyberArk est dans
Account;predicate;ltUsageDate;(Account/Usage.recordUid IS NOT NULL) and (Account/Usage.lastDate < '{convertPeriodToDate(__TIMESLOT__, usageDatePeriodParam.value)}');which last use was is less than;dont la dernière utilisation était est plus petit que
Account;predicate;gtUsageDate;(Account/Usage.recordUid IS NOT NULL) and (Account/Usage.lastDate > '{convertPeriodToDate(__TIMESLOT__, usageDatePeriodParam.value)}');which last use was is greater than;dont la dernière utilisation était est plus grand que
Account;predicate;sharedAccounts;(Account/Usage.recordUid IS NOT NULL) and (Account/Reconciliation.identity.recordUid != 'Account/Usage.identity.recordUid');being used by someone else than the owner ;utilisés par quelqu'un d'autre que leur propriétaire 
Account;predicate;sharedNotReconciliatedAccounts;(Account/Reconciliation.identity.recordUid IS NULL) and (Account/Usage.recordUid IS NOT NULL);orphans but used;orphelins mais utilisés
Account;predicate;noRight;Account/AccountApp.recordUid IS NULL;not granting any right;ne donnant aucun droit
Account;predicate;hasRights;Account/AccountApp.recordUid IS NOT NULL;granting at least one right;donnant au moins un droit
Account;predicate;eqPermissionCode;Account/Permission.code = '{permissionCodeParam.value}';having hierarchical access to permissions which code is equal to;ayant accès hiérarchiquement aux permissions  dont le code est égal à
Account;predicate;nePermissionCode;(Account/Permission.code != '{permissionCodeParam.value}') or (Account/Permission.code IS NULL);having hierarchical access to permissions which code is not equal to;ayant accès hiérarchiquement aux permissions  dont le code n'est pas égal à
Account;predicate;eqDirectPermissionCode;Account/Permission.code = '{permissionCodeParam.value}';having direct access to permissions which code is equal to;ayant accès aux permissions dont le code est égal à
Account;predicate;neDirectPermissionCode;(Account/Permission.code != '{permissionCodeParam.value}') or (Account/Permission.code IS NULL);having direct access to permissions which code is not equal to;ayant accès aux permissions dont le code n'est pas égal à
Account;predicate;inPermissionCode;Account/Permission.code IN '{permissionCodeParam.value}';having hierarchical access to permissions which code is in;ayant accès hiérarchiquement aux permissions  dont le code est dans
Account;predicate;inDirectPermissionCode;Account/Permission.code IN '{permissionCodeParam.value}';having direct access to permissions which code is in;ayant accès aux permissions dont le code est dans
Account;predicate;likePermissionCode;Account/Permission.code LIKE '{permissionCodeParam.value}';having hierarchical access to permissions which code contains;ayant accès hiérarchiquement aux permissions  dont le code contient
Account;predicate;likeDirectPermissionCode;Account/Permission.code LIKE '{permissionCodeParam.value}';having direct access to permissions which code contains;ayant accès aux permissions dont le code contient
Account;predicate;eqPermissionDisplayname;Account/Permission.displayName = '{permissionDisplaynameParam.value}';having hierarchical access to permissions which name is equal to;ayant accès hiérarchiquement aux permissions  dont le nom est égal à
Account;predicate;nePermissionDisplayname;(Account/Permission.displayName != '{permissionDisplaynameParam.value}') or (Account/Permission.displayName IS NULL);having hierarchical access to permissions which name is not equal to;ayant accès hiérarchiquement aux permissions  dont le nom n'est pas égal à
Account;predicate;eqDirectPermissionDisplayname;Account/Permission.displayName = '{permissionDisplaynameParam.value}';having direct access to permissions which name is equal to;ayant accès directement aux permissions dont le nom est égal à
Account;predicate;neDirectPermissionDisplayname;(Account/Permission.displayName != '{permissionDisplaynameParam.value}') or (Account/Permission.displayName IS NULL);having direct access to permissions which name is not equal to;ayant accès directement aux permissions dont le nom n'est pas égal à
Account;predicate;inPermissionDisplayname;Account/Permission.displayName IN '{permissionDisplaynameParam.value}';having hierarchical access to permissions which name is in;ayant accès hiérarchiquement aux permissions  dont le nom est dans
Account;predicate;inDirectPermissionDisplayname;Account/Permission.displayName IN '{permissionDisplaynameParam.value}';having direct access to permissions which name is in;ayant accès directement aux permissions dont le nom est dans
Account;predicate;likePermissionDisplayname;Account/Permission.displayName LIKE '{permissionDisplaynameParam.value}';having hierarchical access to permissions which name contains;ayant accès hiérarchiquement aux permissions  dont le nom contient
Account;predicate;likeDirectPermissionDisplayname;Account/Permission.displayName LIKE '{permissionDisplaynameParam.value}';having direct access to permissions which name contains;ayant accès directement aux permissions dont le nom contient
Account;predicate;eqPermissionChanged;Account.permissionChanged = '1';which permission list has changed since the last timeslot;dont la liste des permissions accessibles a évolué depuis la période précédente
Account;predicate;nePermissionChanged;Account.permissionChanged = '0';which permission list is identical to the last timeslot;dont la liste des permissions accessibles est identique à la période précédente
Account;predicate;eqFSRightChanged;Account.fsRightChanged = '1';which folder rights have changed since last timeslot;dont les droits bureautiques ont changé depuis la période précédente
Account;predicate;neFSRightChanged;Account.fsRightChanged = '0';which fileshare right list is identical in the last timeslot;dont la liste des droits bureautiques est identique à la période précédente
Account;predicate;eqApplicationCode;Account/Application.code = '{applicationCodeParam.value}';having access to applications which code is equal to;ayant accès aux applications dont le code est égal à
Account;predicate;neApplicationCode;(Account/Application.code != '{applicationCodeParam.value}') or (Account/Application.code IS NULL);having access to applications which code is not equal to;ayant accès aux applications dont le code n'est pas égal à
Account;predicate;inApplicationCode;Account/Application.code IN '{applicationCodeParam.value}';having access to applications which code is in;ayant accès aux applications dont le code est dans
Account;predicate;likeApplicationCode;Account/Application.code LIKE '{applicationCodeParam.value}';having access to applications which code contains;ayant accès aux applications dont le code contient
Account;predicate;eqApplicationDisplayname;Account/Application.displayName = '{applicationDisplaynameParam.value}';having access to applications which name is equal to;ayant accès aux applications dont le nom est égal à
Account;predicate;inApplicationDisplayname;Account/Application.displayName IN '{applicationDisplaynameParam.value}';having access to applications which name is in;ayant accès aux applications dont le nom est dans
Account;predicate;likeApplicationDisplayname;Account/Application.displayName LIKE '{applicationDisplaynameParam.value}';having access to applications which name contains;ayant accès aux applications dont le nom contient
Account;predicate;eqService;(((Account/Reconciliation.recordUid IS NOT NULL) and (Account/Reconciliation.identity.recordUid IS NULL)) and (Account/Reconciliation.noOwnerCode = 'service')) or (Account.service = '1');service is equal to;de service est égal à
Account;predicate;neService;((((Account/Reconciliation.noOwnerCode != 'service') or (Account/Reconciliation.noOwnerCode IS NULL)) and (Account/Reconciliation.recordUid IS NOT NULL)) or (Account.service != '1')) or (Account.service IS NULL);not service is not equal to;pas de service n'est pas égal à
Account;predicate;eqDisabled;Account.disabled = '1';disabled;désactivés
Account;predicate;neDisabled;(Account.disabled = '0') or (Account.disabled IS NULL);active;actifs
Account;predicate;eqLocked;Account.locked = '1';locked;bloqués
Account;predicate;neLocked;(Account.locked = '0') or (Account.locked IS NULL);not locked;non bloqués
Account;predicate;eqPasswordNotRequired;Account.passwordNotRequired = '1';which password is not required;ne nécessitant pas un mot de passe pour s'authentifier
Account;predicate;nePasswordNotRequired;(Account.passwordNotRequired = '0') or (Account.passwordNotRequired IS NULL);which password is required;nécessitant un mot de passe pour s'authentifier
Account;predicate;eqPasswordCantChange;Account.passwordCantChange = '1';which password can't be changed;dont le mot de passe ne peut pas changer
Account;predicate;nePasswordCantChange;(Account.passwordCantChange = '0') or (Account.passwordCantChange IS NULL);which password can change;dont le mot de passe peut changer
Account;predicate;eqPrivilegedAccount;Account.privilegedAccount = '1';with privileges;avec privilèges
Account;predicate;nePrivilegedAccount;(Account.privilegedAccount = '0') or (Account.privilegedAccount IS NULL);standard;standards
Account;predicate;eqDontExpirePassword;Account.dontExpirePassword = '1';which password never expires;dont le mot de passe n'expire jamais
Account;predicate;neDontExpirePassword;(Account.dontExpirePassword = '0') or (Account.dontExpirePassword IS NULL);which password can expire;dont le mot de passe peut expirer
Account;predicate;eqPasswordExpired;Account.passwordExpired = '1';which password has expired;dont le mot de passe a expiré
Account;predicate;nePasswordExpired;(Account.passwordExpired = '0') or (Account.passwordExpired IS NULL);which password hasn't expired yet;dont le mot de passe n'a pas expiré
Account;predicate;eqSmartCardRequired;Account.smartCardRequired = '1';requiring smart card for login;nécessitant une carte à puce pour s'authentifier
Account;predicate;neSmartCardRequired;(Account.smartCardRequired = '0') or (Account.smartCardRequired IS NULL);not requiring smart card for login;ne nécessitant pas une carte à puce pour s'authentifier
Account;predicate;eqBadPasswordCount;Account.badPasswordCount = '{parseInt(badPasswordCountParam.value,10)}';which bad password count is equal to;dont le nombre de mots de passe erronés est égal à
Account;predicate;ltBadPasswordCount;Account.badPasswordCount < '{parseInt(badPasswordCountParam.value,10)}';which bad password count is less than;dont le nombre de mots de passe erronés est plus petit que
Account;predicate;gtBadPasswordCount;Account.badPasswordCount > '{parseInt(badPasswordCountParam.value,10)}';which bad password count is greater than;dont le nombre de mots de passe erronés est plus grand que
Account;predicate;hasBeenReviewed;Account/AccountReview.dates.timeslot IS NOT NULL;which have been reviewed;qui ont fait l'objet d'une revue
Account;predicate;hasNotBeenReviewed;Account/AccountReview.dates.timeslot IS NULL;which have never been reviewed;qui n'ont jamais fait l'objet d'une revue
Account;predicate;eqRepository;(Account/Repository.code = '{repositoryParam.value}') or (Account/Repository.displayName = '{repositoryParam.value}');which repository is equal to;dont le référentiel est égal à
Account;predicate;neRepository;((Account/Repository.code != '{repositoryParam.value}') and (Account/Repository.displayName != '{repositoryParam.value}')) or (Account/Repository.recordUid IS NULL);which repository is not equal to;dont le référentiel n'est pas égal à
Account;predicate;inRepository;(Account/Repository.code IN '{repositoryParam.value}') or (Account/Repository.displayName IN '{repositoryParam.value}');which repository is in;dont le référentiel est dans
Account;predicate;likeRepository;(Account/Repository.code LIKE '{repositoryParam.value}') or (Account/Repository.displayName LIKE '{repositoryParam.value}');which repository contains;dont le référentiel contient
Account;predicate;startRepository;(Account/Repository.code LIKE '{repositoryParam.value}%') or (Account/Repository.displayName LIKE '{repositoryParam.value}%');which repository starts with;dont le référentiel démarre par
Account;predicate;endRepository;(Account/Repository.code LIKE '%{repositoryParam.value}') or (Account/Repository.displayName LIKE '%{repositoryParam.value}');which repository ends with;dont le référentiel se termine par
Account;predicate;noGroup;Account/AccountGroup.recordUid IS NULL;not belonging to any group;n'appartenant à aucun groupe
Account;predicate;isInGroups;Account/AccountGroup.recordUid IS NOT NULL;belonging to at least one group;appartenant à au moins un groupe
Account;predicate;eqGroup;(Account/Group.code = '{groupParam.value}') or (Account/Group.displayName = '{groupParam.value}');direct members of groups which name is equal to;membres directs de groupes dont le nom est égal à
Account;predicate;eqGroupRecursive;(((Account/Group.code = '{groupParam.value}') or (Account/Group.displayName = '{groupParam.value}')) or (Account/Group.code = '{groupParam.value}')) or (Account/Group.displayName = '{groupParam.value}');members of groups which name is equal to;membres de groupes dont le nom est égal à
Account;predicate;inGroup;(Account/Group.code IN '{groupParam.value}') or (Account/Group.displayName IN '{groupParam.value}');direct members of groups which name is in;membres directs de groupes dont le nom est dans
Account;predicate;inGroupRecursive;(((Account/Group.code IN '{groupParam.value}') or (Account/Group.displayName IN '{groupParam.value}')) or (Account/Group.code IN '{groupParam.value}')) or (Account/Group.displayName IN '{groupParam.value}');members of groups which name is in;membres de groupes dont le nom est dans
Account;predicate;likeGroup;(Account/Group.code LIKE '{groupParam.value}') or (Account/Group.displayName LIKE '{groupParam.value}');direct members of groups which name contains;membres directs de groupes dont le nom contient
Account;predicate;likeGroupRecursive;(((Account/Group.code LIKE '{groupParam.value}') or (Account/Group.displayName LIKE '{groupParam.value}')) or (Account/Group.code LIKE '{groupParam.value}')) or (Account/Group.displayName LIKE '{groupParam.value}');members of groups which name contains;membres de groupes dont le nom contient
Account;predicate;eqGroupChanged;Account.groupChanged = '1';which group list has changed since the last timeslot;dont la liste de groupes associés  a changé depuis la période précédente
Account;predicate;neGroupChanged;Account.groupChanged = '0';which group list is identical to last timeslot;dont la liste des groupes est identique à la période précédente
Account;predicate;eqUid;Account.uid = '{uidParam.value}';which internal identifier is equal to;dont l'identifiant interne est égal à
Account;predicate;inUid;Account.uid IN '{uidParam.value}';which internal identifier is in;dont l'identifiant interne est dans
Account;relationship;identityreconciliation;Account/Reconciliation/Identity.recordUid IS NOT NULL;belonging to identities;appartenant à des identités
Account;relationship;identityusage;Account/Usage/Identity.recordUid IS NOT NULL;used by identities;utilisés par des identités
Account;relationship;usage;Account/Usage.recordUid IS NOT NULL;with uses;ayant des usages
Account;relationship;fspermissionrightread;Account/FSRight/Permission/PermLink/Permission/Permission.recordUid IS NOT NULL;having read access to shared folders;ayant accès en lecture à des dossiers partagés
Account;relationship;fspermissionrightwrite;Account/FSRight/Permission/PermLink/Permission/Permission.recordUid IS NOT NULL;having write access to shared folders;ayant accès en écriture à des dossiers partagés
Account;relationship;permissionright;Account/AggregatedRight/Permission/PermLink/Permission/Permission.recordUid IS NOT NULL;having access to permissions;ayant accès à des permissions
Account;relationship;directpermissionright;Account/AggregatedRight/Permission/Permission.recordUid IS NOT NULL;having direct access to permissions;ayant un accès direct à des permissions
Account;relationship;fsdirectpermissionright;Account/FSRight/Permission/Permission.recordUid IS NOT NULL;having access to shared folders;ayant accès à des dossiers partagés
Account;relationship;permissionusage;Account/Usage/Permission.recordUid IS NOT NULL;using permissions;utilisant des permissions
Account;relationship;applicationright;Account/AccountApp/Application.recordUid IS NOT NULL;having access to applications;ayant accès à des applications
Account;relationship;applicationusage;Account/Usage/Application.recordUid IS NOT NULL;using applications;utilisant  des applications
Account;relationship;group;Account/AccountGroup/Group.recordUid IS NOT NULL;direct members of groups which name;membres directs de groupes dont le nom
Account;relationship;upgroup;Account/UpAccountGroup/Group.recordUid IS NOT NULL;members of groups;membres de groupes
Account;relationship;manager;Account/Account.recordUid IS NOT NULL;managed by accounts;gérés par des comptes
Account;relationship;managers;Account/Manager/Identity.recordUid IS NOT NULL;managed by identities;gérés par des identités
Account;relationship;repository;Account/Repository.recordUid IS NOT NULL;which repository;dont le référentiel
Account;relationship;controldiscrepancy;Account/ControlDiscrepancy.recordUid IS NOT NULL;being in discrepancy;qui sont en écart
Account;relationship;vaultright;Account/AccountApp/CAVault.recordUid IS NOT NULL;administering vaults;administrant des vaults
Account;relationship;saferight;Account/AccountApp/CASafe.recordUid IS NOT NULL;accessing safes;pouvant accéder à des safes
Account;relationship;safeuserright;Account/Metadata/MetadataValue/CASafe.recordUid IS NOT NULL;using credentials in safes;pouvant utiliser les secrets de safes
Account;relationship;safeadminright;Account/Metadata/MetadataValue/CASafe.recordUid IS NOT NULL;administering safes;administrant des safes
Identity;predicate;eqHrCode;Identity.hrCode = '{hrCodeParam.value}';whose HR code is equal to;dont le matricule est égal à
Identity;predicate;neHrCode;(Identity.hrCode != '{hrCodeParam.value}') or (Identity.hrCode IS NULL);whose HR code is not equal to;dont le matricule n'est pas égal à
Identity;predicate;inHrCode;Identity.hrCode IN '{hrCodeParam.value}';whose HR code is in;dont le matricule est dans
Identity;predicate;likeHrCode;Identity.hrCode LIKE '{hrCodeParam.value}';whose HR code contains;dont le matricule contient
Identity;predicate;startHrCode;Identity.hrCode LIKE '{hrCodeParam.value}%';whose HR code starts with;dont le matricule démarre par
Identity;predicate;endHrCode;Identity.hrCode LIKE '%{hrCodeParam.value}';whose HR code ends with;dont le matricule se termine par
Identity;predicate;noHrCode;(Identity.hrCode IS NULL) or (Identity.hrCode = '');HR code is empty ;dont le matricule n'est pas renseigné 
Identity;predicate;hasHrCode;(Identity.hrCode IS NOT NULL) and (Identity.hrCode != '');HR code is not empty ;dont le matricule est renseigné 
Identity;predicate;eqNickName;Identity.nickName = '{nickNameParam.value}';whose nickname is equal to;dont l'alias est égal à
Identity;predicate;neNickName;(Identity.nickName != '{nickNameParam.value}') or (Identity.nickName IS NULL);whose nickname is not equal to;dont l'alias n'est pas égal à
Identity;predicate;inNickName;Identity.nickName IN '{nickNameParam.value}';whose nickname is in;dont l'alias est dans
Identity;predicate;likeNickName;Identity.nickName LIKE '{nickNameParam.value}';whose nickname contains;dont l'alias contient
Identity;predicate;startNickName;Identity.nickName LIKE '{nickNameParam.value}%';whose nickname starts with;dont l'alias démarre par
Identity;predicate;endNickName;Identity.nickName LIKE '%{nickNameParam.value}';whose nickname ends with;dont l'alias se termine par
Identity;predicate;eqGivenName;Identity.givenName = '{givenNameParam.value}';whose given name is equal to;dont le prénom est égal à
Identity;predicate;neGivenName;(Identity.givenName != '{givenNameParam.value}') or (Identity.givenName IS NULL);whose given name is not equal to;dont le prénom n'est pas égal à
Identity;predicate;inGivenName;Identity.givenName IN '{givenNameParam.value}';whose given name is in;dont le prénom est dans
Identity;predicate;likeGivenName;(Identity.givenName LIKE '{givenNameParam.value}') or (Identity.flatGivenName LIKE '{convertNameToFlat(givenNameParam.value)}');whose given name contains;dont le prénom contient
Identity;predicate;startGivenName;(Identity.givenName LIKE '{givenNameParam.value}%') or (Identity.flatGivenName LIKE '{convertNameToFlat(givenNameParam.value)}%');whose given name starts with;dont le prénom démarre par
Identity;predicate;endGivenName;(Identity.givenName LIKE '%{givenNameParam.value}') or (Identity.flatGivenName LIKE '%{convertNameToFlat(givenNameParam.value)}');whose given name ends with;dont le prénom se termine par
Identity;predicate;eqMiddleName;Identity.middleName = '{middleNameParam.value}';whose middle name is equal to;dont le second prénom est égal à
Identity;predicate;neMiddleName;(Identity.middleName != '{middleNameParam.value}') or (Identity.middleName IS NULL);whose middle name is not equal to;dont le second prénom n'est pas égal à
Identity;predicate;inMiddleName;Identity.middleName IN '{middleNameParam.value}';whose middle name is in;dont le second prénom est dans
Identity;predicate;likeMiddleName;Identity.middleName LIKE '{middleNameParam.value}';whose middle name contains;dont le second prénom contient
Identity;predicate;startMiddleName;Identity.middleName LIKE '{middleNameParam.value}%';whose middle name starts with;dont le second prénom démarre par
Identity;predicate;endMiddleName;Identity.middleName LIKE '%{middleNameParam.value}';whose middle name ends with;dont le second prénom se termine par
Identity;predicate;eqSurname;Identity.surname = '{surnameParam.value}';whose surname is equal to;dont le nom de famille est égal à
Identity;predicate;neSurname;(Identity.surname != '{surnameParam.value}') or (Identity.surname IS NULL);whose surname is not equal to;dont le nom de famille n'est pas égal à
Identity;predicate;inSurname;Identity.surname IN '{surnameParam.value}';whose surname is in;dont le nom de famille est dans
Identity;predicate;likeSurname;(Identity.surname LIKE '{surnameParam.value}') or (Identity.flatSurname LIKE '{convertNameToFlat(surnameParam.value)}');whose surname contains;dont le nom de famille contient
Identity;predicate;startSurname;(Identity.surname LIKE '{surnameParam.value}%') or (Identity.flatSurname LIKE '{convertNameToFlat(surnameParam.value)}%');whose surname starts with;dont le nom de famille démarre par
Identity;predicate;endSurname;(Identity.surname LIKE '%{surnameParam.value}') or (Identity.flatSurname LIKE '%{convertNameToFlat(surnameParam.value)}');whose surname ends with;dont le nom de famille se termine par
Identity;predicate;eqFullName;Identity.fullName = '{fullNameParam.value}';whose full name is equal to;dont le nom complet est égal à
Identity;predicate;neFullName;(Identity.fullName != '{fullNameParam.value}') or (Identity.fullName IS NULL);whose full name is not equal to;dont le nom complet n'est pas égal à
Identity;predicate;inFullName;Identity.fullName IN '{fullNameParam.value}';whose full name is in;dont le nom complet est dans
Identity;predicate;likeFullName;(Identity.fullName LIKE '{fullNameParam.value}') or (Identity.flatFullName LIKE '{convertNameToFlat(fullNameParam.value)}');whose full name contains;dont le nom complet contient
Identity;predicate;startFullName;(Identity.fullName LIKE '{fullNameParam.value}%') or (Identity.flatFullName LIKE '{convertNameToFlat(fullNameParam.value)}%');whose full name starts with;dont le nom complet démarre par
Identity;predicate;endFullName;(Identity.fullName LIKE '%{fullNameParam.value}') or (Identity.flatFullName LIKE '%{convertNameToFlat(fullNameParam.value)}');whose full name ends with;dont le nom complet se termine par
Identity;predicate;eqFlatFullName;Identity.flatFullName = '{flatFullNameParam.value}';whose normalized full name is equal to;dont le nom complet normalisé est égal à
Identity;predicate;eqMail;Identity.mail = '{mailParam.value}';whose email is equal to;dont le mail est égal à
Identity;predicate;neMail;(Identity.mail != '{mailParam.value}') or (Identity.mail IS NULL);whose email is not equal to;dont le mail n'est pas égal à
Identity;predicate;inMail;Identity.mail IN '{mailParam.value}';whose email is in;dont le mail est dans
Identity;predicate;likeMail;Identity.mail LIKE '{mailParam.value}';whose email contains;dont le mail contient
Identity;predicate;startMail;Identity.mail LIKE '{mailParam.value}%';whose email starts with;dont le mail démarre par
Identity;predicate;endMail;Identity.mail LIKE '%{mailParam.value}';whose email ends with;dont le mail se termine par
Identity;predicate;eqTitle;(Identity/Title.code = '{titleParam.value}') or (Identity/Title.displayName = '{titleParam.value}');whose title is equal to;dont la civilité est égal à
Identity;predicate;neTitle;((Identity/Title.code != '{titleParam.value}') and (Identity/Title.displayName != '{titleParam.value}')) or (Identity/Title.recordUid IS NULL);whose title is not equal to;dont la civilité n'est pas égal à
Identity;predicate;inTitle;(Identity/Title.code IN '{titleParam.value}') or (Identity/Title.displayName IN '{titleParam.value}');whose title is in;dont la civilité est dans
Identity;predicate;likeTitle;(Identity/Title.code LIKE '{titleParam.value}') or (Identity/Title.displayName LIKE '{titleParam.value}');whose title contains;dont la civilité contient
Identity;predicate;startTitle;(Identity/Title.code LIKE '{titleParam.value}%') or (Identity/Title.displayName LIKE '{titleParam.value}%');whose title starts with;dont la civilité démarre par
Identity;predicate;endTitle;(Identity/Title.code LIKE '%{titleParam.value}') or (Identity/Title.displayName LIKE '%{titleParam.value}');whose title ends with;dont la civilité se termine par
Identity;predicate;eqEmployeeType;(Identity/EmployeeType.code = '{employeeTypeParam.value}') or (Identity/EmployeeType.displayName = '{employeeTypeParam.value}');whose employee type is equal to;dont le type d'employé est égal à
Identity;predicate;neEmployeeType;((Identity/EmployeeType.code != '{employeeTypeParam.value}') and (Identity/EmployeeType.displayName != '{employeeTypeParam.value}')) or (Identity/EmployeeType.recordUid IS NULL);whose employee type is not equal to;dont le type d'employé n'est pas égal à
Identity;predicate;likeEmployeeType;(Identity/EmployeeType.code LIKE '{employeeTypeParam.value}') or (Identity/EmployeeType.displayName LIKE '{employeeTypeParam.value}');whose employee type contains;dont le type d'employé contient
Identity;predicate;startEmployeeType;(Identity/EmployeeType.code LIKE '{employeeTypeParam.value}%') or (Identity/EmployeeType.displayName LIKE '{employeeTypeParam.value}%');whose employee type starts with;dont le type d'employé démarre par
Identity;predicate;endEmployeeType;(Identity/EmployeeType.code LIKE '%{employeeTypeParam.value}') or (Identity/EmployeeType.displayName LIKE '%{employeeTypeParam.value}');whose employee type ends with;dont le type d'employé se termine par
Identity;predicate;eqJobTitle;(Identity/JobTitle.code = '{jobTitleParam.value}') or (Identity/JobTitle.displayName = '{jobTitleParam.value}');whose job title is equal to;dont le métier est égal à
